"cell","UMAP1","UMAP2","subcluster","geno","pt"
"wt_10039324",-7.54770139855674,-2.56704511318084,"differentiating","WT",57.5962786009493
"wt_8585862",-7.3575721184664,-2.85312785777922,"differentiating","WT",53.7725233969664
"wt_11071549",-7.15049699944785,-2.63942088756438,"differentiating","WT",44.4880397663648
"wt_8564353",-7.73582319421103,-2.72114004764434,"differentiating","WT",54.2443995910534
"wt_13304461",-7.13409237069419,-1.59028257999297,"differentiating","WT",51.3483545507254
"wt_10477451",-5.5742059151583,-2.15309121284362,"precursor-like","WT",39.0169747923102
"wt_6812175",-5.47043136758139,-2.23537399444457,"differentiating","WT",55.4786801674335
"wt_2817454",-6.42168001336386,-1.4307123628604,"differentiating","WT",42.9160728742839
"wt_3568962",-5.93789295357993,-1.61963917884703,"precursor-like","WT",43.7742736474996
"wt_9883801",-7.31169180077841,-2.83410014781829,"differentiating","WT",55.4738248044653
"wt_1639307",-7.69070963067343,-2.031898399924,"differentiating","WT",55.206558604589
"wt_8559024",-6.43467048806479,-2.43163194332,"differentiating","WT",53.2409630661453
"wt_8128588",-7.15145544213584,-2.55530633602019,"differentiating","WT",55.5997750699247
"wt_765000",-7.50873235863974,-2.76806010875579,"differentiating","WT",57.8967262501686
"wt_11822987",-7.76075987023642,-2.22049965534087,"differentiating","WT",58.4270803884024
"wt_13885886",-7.32720998925498,-1.41065337333556,"differentiating","WT",57.7889640525883
"wt_1789914",-6.3675761620455,-1.49492671165343,"differentiating","WT",45.1329247644227
"wt_10800436",-6.80158142251303,-1.50499834689971,"differentiating","WT",53.6763939471694
"wt_324507",-7.38908533257773,-2.24008156928893,"differentiating","WT",56.2575278419006
"wt_9746733",-6.86297611398032,-2.68025841388579,"differentiating","WT",53.9091402593019
"wt_5035864",-6.7873783509188,-2.45541658077117,"differentiating","WT",52.7333612089182
"wt_1922308",-7.6014218727999,-2.77122082385894,"differentiating","WT",56.8664509073124
"wt_4004362",-7.32661775750449,-2.47654952678557,"precursor-like","WT",57.2534046427766
"wt_331045",-7.50675157708457,-2.07838132057067,"differentiating","WT",49.1852306823845
"wt_1362123",-7.02734092873862,-2.5966869798648,"differentiating","WT",53.4044348371239
"wt_8706858",-6.04476694268515,-2.36464049491759,"precursor-like","WT",54.0103466580883
"wt_8714916",-6.53222660226157,-2.47761978778716,"precursor-like","WT",50.6880602460163
"wt_5458945",-7.56783250970175,-2.40830530795928,"differentiating","WT",52.8528330781998
"wt_156321",-5.49702266854575,-2.08127631816741,"precursor-like","WT",39.7296002757144
"wt_5188677",-7.43860868615439,-2.51070727977629,"differentiating","WT",56.886510496766
"wt_4578838",-7.00919870538047,-0.947684010599811,"differentiating","WT",58.1099872809004
"wt_4002129",-6.9669528405123,-2.34868719253417,"differentiating","WT",47.8359549521074
"wt_13143955",-6.934339563077,-2.70547046337004,"differentiating","WT",56.5888457888769
"wt_8588197",-7.52064661187461,-2.68141426715728,"differentiating","WT",45.7795972810817
"wt_8267176",-4.7198186318331,-2.37378301296111,"precursor-like","WT",41.3053552219453
"wt_1331333",-6.8574295441561,-1.63950695667144,"differentiating","WT",54.9356918749124
"wt_12860256",-6.13969711465171,-2.03715099964019,"differentiating","WT",42.3172168337534
"wt_590978",-7.49460748833945,-2.6972409692752,"differentiating","WT",45.2339736907038
"wt_4725590",-6.9984469811373,-2.43908586177703,"precursor-like","WT",48.9108112940497
"wt_5169468",-6.62317423028281,-1.8898256031024,"differentiating","WT",53.9541374450288
"wt_13747977",-6.66236166161826,-1.97226037654753,"differentiating","WT",48.514487258282
"wt_763849",-6.93158964318564,-1.47521962795134,"differentiating","WT",57.008330727571
"wt_6054943",-4.98116258782675,-2.20539500388976,"precursor-like","WT",40.5191171753355
"wt_10338124",-7.37191728753379,-1.95422317657347,"differentiating","WT",51.2786539019502
"wt_2970635",-7.0664606491976,-2.55509509715911,"differentiating","WT",51.7708640550704
"wt_1062957",-6.8809194962435,-2.41351260814543,"differentiating","WT",53.1478772358039
"wt_9913401",-7.29538969201377,-2.53395785961028,"differentiating","WT",47.4851613860129
"wt_9022126",-7.14794496697715,-2.54631199512358,"differentiating","WT",49.8013366979076
"wt_6499637",-5.85754827660849,-2.08427729282256,"precursor-like","WT",38.1057293914996
"wt_6366816",-6.81853775185874,-2.02587320480223,"differentiating","WT",48.3576449050517
"wt_13128225",-6.92430595559409,-0.561180835698802,"differentiating","WT",47.9980673764317
"wt_13739975",-6.63415054482749,-2.53576173457976,"differentiating","WT",49.859639817819
"wt_4284728",-7.66060117883017,-2.38565673503752,"differentiating","WT",52.2184567161758
"wt_8417754",-6.87700609368613,-1.23484947357054,"differentiating","WT",51.5536935740347
"wt_610213",-7.23315099877646,-2.30596782836791,"differentiating","WT",53.3040668638043
"wt_10331990",-5.93619207543662,-2.15484323177214,"precursor-like","WT",46.8357102082575
"wt_7405087",-6.28707842034629,-2.27170850906249,"differentiating","WT",49.5532706763977
"wt_8268343",-5.54748396081259,-2.29853310260649,"precursor-like","WT",47.5225740395041
"wt_5903654",-7.47400526208213,-2.41080488834258,"differentiating","WT",53.4546073904437
"wt_2674988",-7.04436210793784,-2.22465958270903,"differentiating","WT",58.5088801175375
"wt_2660008",-7.1411939064913,-2.34488036308165,"differentiating","WT",56.8976225722299
"wt_9467178",-7.71946291131308,-2.24353673133727,"differentiating","WT",53.2926182498662
"wt_9324700",-4.95141605538657,-2.29799725684996,"precursor-like","WT",49.0316081152808
"wt_5750797",-6.9623928467684,-2.39395394000884,"differentiating","WT",51.4854429247033
"wt_12845588",-7.66607431573203,-2.29104520950194,"precursor-like","WT",51.0906889782476
"wt_12118737",-7.2348914544039,-1.73369838867064,"differentiating","WT",52.0255894094105
"wt_6796833",-7.27945951623252,-2.56809177074309,"differentiating","WT",54.1475385532374
"wt_9153118",-7.39254335564902,-1.39347948703643,"precursor-like","WT",48.3293841729913
"wt_894754",-7.53797487420371,-2.7455488649356,"differentiating","WT",54.6707410204938
"wt_3836638",-5.94667390984824,-2.47202648792144,"differentiating","WT",43.6494785246733
"wt_9458379",-6.35588554543784,-1.92577125701781,"differentiating","WT",48.5478848043772
"wt_2688817",-6.75565532845786,-2.67185129794951,"differentiating","WT",52.7896388643417
"wt_11525379",-7.39457182092002,-2.21803941402312,"precursor-like","WT",52.4838964430902
"wt_6496215",-7.09349588555625,-2.65713133487578,"differentiating","WT",52.4828943528915
"wt_2384313",-7.25048593682578,-1.62974979553099,"differentiating","WT",53.9629212248351
"wt_7106745",-7.24042848748496,-2.60686030063506,"differentiating","WT",49.529473717762
"wt_9910739",-5.78771738213828,-2.04211618575927,"precursor-like","WT",41.8217887130482
"wt_12683177",-6.55340389413169,-1.83320011768218,"differentiating","WT",50.1123610389376
