"class","n_cells","gene","pct_expr","mean_expr"
"Immature Astrocytes",1931,"Isl1",3.5,0.0552
"Immature Astrocytes",1931,"Rxrg",9.5,0.1357
"Immature Astrocytes",1931,"Npy1r",0.9,0.0126
"Immature Astrocytes",1931,"Dchs2",5.3,0.0796
"Immature Astrocytes",1931,"Pde8b",5.8,0.0825
"Immature Astrocytes",1931,"Drd2",1.1,0.0145
"Immature Astrocytes",1931,"Penk",1.5,0.0187
"Immature Astrocytes",1931,"Adora2a",0.4,0.0042
"Immature Astrocytes",1931,"Six3",11.6,0.1829
"Immature Astrocytes",1931,"Sox4",30.7,0.4981
"LGE-derived GABAergic",1056,"Mki67",3.8,0.0654
"LGE-derived GABAergic",1056,"Top2a",3.1,0.0538
"LGE-derived GABAergic",1056,"Eomes",0.7,0.0115
"LGE-derived GABAergic",1056,"Neurog2",0.5,0.0076
"LGE-derived GABAergic",1056,"Btg2",2.1,0.0277
"LGE-derived GABAergic",1056,"Dlx1",57.8,1.2227
"LGE-derived GABAergic",1056,"Dlx2",19.4,0.3329
"LGE-derived GABAergic",1056,"Ascl1",2.3,0.0372
"LGE-derived GABAergic",1056,"Egfr",1.9,0.0364
"LGE-derived GABAergic",1056,"Olig2",0.2,0.003
"LGE-derived GABAergic",1056,"Bcan",2.9,0.0535
"LGE-derived GABAergic",1056,"Aqp4",0.4,0.0062
"LGE-derived GABAergic",1056,"Aldh1l1",0.8,0.0127
"LGE-derived GABAergic",1056,"Clu",0.9,0.011
"LGE-derived GABAergic",1056,"Slc1a3",10.8,0.2058
"LGE-derived GABAergic",1056,"Slco1c1",0.6,0.0089
"LGE-derived GABAergic",1056,"Mfge8",1.8,0.0261
"LGE-derived GABAergic",1056,"Pdgfra",0.8,0.0138
"LGE-derived GABAergic",1056,"Cspg4",0.6,0.0089
"LGE-derived GABAergic",1056,"Sox10",0,0
"LGE-derived GABAergic",1056,"Fezf2",2.2,0.0366
"LGE-derived GABAergic",1056,"Tle4",17.1,0.3176
"LGE-derived GABAergic",1056,"Ntsr1",7.1,0.1062
"LGE-derived GABAergic",1056,"Satb2",6.6,0.1249
"LGE-derived GABAergic",1056,"Cux1",46.6,0.8775
"LGE-derived GABAergic",1056,"Mef2c",28.6,0.5596
"LGE-derived GABAergic",1056,"Reln",12.3,0.2071
