# Authoritative membership for the 10 gene sets displayed in Figure 3B-D.
# Direct rows use org.Mm.eg.db 3.20.0, keytype='GO' (not GOALL),
# Entrez/GO source date 2024-Sep20. The cell-cycle row is the recovered
# 94-gene mouse-symbol Tirosh 2016 S+G2/M set used in the analysis.
# One row per unique set-member gene; this table is the frozen input to
# compute_figure3_tables.py and removes annotation-release ambiguity.
#
panel,gene_set,category,go_id,annotation,canonical_fraction,source_release,gene
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Nectin1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Neo1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Neurog2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Nexn
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Nfasc
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Ngfr
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Nkx2-1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Nog
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Notch1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Notch3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Nr4a3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Nrcam
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Nrp1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Nrp2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Ntf3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Ntn1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Ntn4
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Ntrk1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Or10a4
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Or8a1b
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Otx2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Pax6
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Pla2g10
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Plxna3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Plxna4
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Pou4f2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Prtg
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Ptprj
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Ptpro
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Rac1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Reln
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Robo1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Robo2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Robo3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Rtn4r
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Rtn4rl1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Runx3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Ryk
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Scn1b
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema3a
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema3b
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema3c
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema3d
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema3e
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema3f
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema3g
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema4a
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema4b
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema4c
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema4d
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema4f
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema4g
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema5a
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema5b
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema6a
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema6b
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema6c
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema6d
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Sema7a
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Shh
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Slit1
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Slit2
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Slit3
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Smad4
B,Axon guidance,Guidance,GO:0007411,direct GO,0.87,org.Mm.eg.db 3.20.0; GOEGSOURCEDATE 2024-Sep20,Tgfb2
