# Figure 3 gene-set battery on the installed 18-class scheme, 13 classes.
# 121 of 130 combinations tested; the rest fall below the 15-gene floor and are NA.
# Permutation against size-matched random gene sets drawn from the same class's
#   own DE table, 4,000 draws, per-(set, class) seed derived from master seed 3.
# z_vs_random is the effect: mean log2FC of the set minus the null mean, in null SDs.
# BH is across tested combinations only. One library per genotype: nuclei are
#   pseudoreplicates, so these P values describe how reliably the two libraries differ.
gene_set,category,go_id,annotation,canonical_fraction,cell_type,family,n_genes_in_set,n_genes_tested,test_status,mean_log2FC,z_vs_random,perm_p,significant,significant_FDR_q05,q_value_BH
Ionotropic glutamate receptor sig,Neurotransmission,GO:0035235,direct GO,1.0,MGE-IN,Ventral interneuron,22,18,tested,-0.2525,-2.171,0.0295,True,False,0.2083
Ionotropic glutamate receptor sig,Neurotransmission,GO:0035235,direct GO,1.0,CGE-IN,Ventral interneuron,22,16,tested,-0.0325,0.046,0.9588,False,False,0.9783
Ionotropic glutamate receptor sig,Neurotransmission,GO:0035235,direct GO,1.0,"GABAergic IN, origin unassigned",Ventral interneuron,22,19,tested,-0.0416,-0.341,0.7146,False,False,0.8988
Ionotropic glutamate receptor sig,Neurotransmission,GO:0035235,direct GO,1.0,LGE-derived GABAergic,Ventral interneuron,22,16,tested,-0.0376,0.125,0.902,False,False,0.9641
Ionotropic glutamate receptor sig,Neurotransmission,GO:0035235,direct GO,1.0,SPN-D1 (precursor-like),Ventral projection,22,16,tested,-0.2183,-1.092,0.2614,False,False,0.6083
Ionotropic glutamate receptor sig,Neurotransmission,GO:0035235,direct GO,1.0,SPN-D1 (differentiating),Ventral projection,22,17,tested,-0.0929,-0.524,0.5844,False,False,0.895
Ionotropic glutamate receptor sig,Neurotransmission,GO:0035235,direct GO,1.0,SPN-D2 (differentiating),Ventral projection,22,16,tested,-0.2042,-1.345,0.1635,False,False,0.5205
Neuronal action potential,Excitability,GO:0019228,direct GO,0.62,Ventral IPC,Progenitor,53,20,tested,-0.3437,-2.519,0.0165,True,False,0.1512
Neuronal action potential,Excitability,GO:0019228,direct GO,0.62,Gliogenic RG,Progenitor,53,17,tested,-0.0924,-0.686,0.4939,False,False,0.8182
Neuronal action potential,Excitability,GO:0019228,direct GO,0.62,Immature Astrocytes,Glial,53,19,tested,-0.2406,-2.838,0.0122,True,False,0.143
Neuronal action potential,Excitability,GO:0019228,direct GO,0.62,OPC,Glial,53,25,tested,-0.0324,-0.214,0.8273,False,False,0.9269
Neuronal action potential,Excitability,GO:0019228,direct GO,0.62,Deep layer EN,Dorsal excitatory,53,24,tested,-0.0797,-1.079,0.2394,False,False,0.606
Neuronal action potential,Excitability,GO:0019228,direct GO,0.62,Upper layer EN,Dorsal excitatory,53,24,tested,-0.2393,-2.805,0.0087,True,False,0.1399
Neuronal action potential,Excitability,GO:0019228,direct GO,0.62,MGE-IN,Ventral interneuron,53,22,tested,-0.2664,-2.66,0.0107,True,False,0.143
Neuronal action potential,Excitability,GO:0019228,direct GO,0.62,CGE-IN,Ventral interneuron,53,23,tested,-0.1278,-0.755,0.4396,False,False,0.7492
Neuronal action potential,Excitability,GO:0019228,direct GO,0.62,"GABAergic IN, origin unassigned",Ventral interneuron,53,26,tested,-0.1692,-1.881,0.0607,False,False,0.3062
Neuronal action potential,Excitability,GO:0019228,direct GO,0.62,LGE-derived GABAergic,Ventral interneuron,53,21,tested,-0.0435,0.055,0.953,False,False,0.9783
Neuronal action potential,Excitability,GO:0019228,direct GO,0.62,SPN-D1 (precursor-like),Ventral projection,53,23,tested,-0.3274,-2.411,0.0175,True,False,0.1512
Neuronal action potential,Excitability,GO:0019228,direct GO,0.62,SPN-D1 (differentiating),Ventral projection,53,23,tested,-0.0561,-0.023,0.9783,False,False,0.9783
Neuronal action potential,Excitability,GO:0019228,direct GO,0.62,SPN-D2 (differentiating),Ventral projection,53,22,tested,-0.1729,-1.179,0.2179,False,False,0.606
Cell cycle (S and G2/M),Proliferation,curated (Tirosh 2016),curated,1.0,Ventral IPC,Progenitor,94,82,tested,0.0502,2.643,0.0087,True,False,0.1399
Cell cycle (S and G2/M),Proliferation,curated (Tirosh 2016),curated,1.0,Gliogenic RG,Progenitor,94,79,tested,0.0305,0.419,0.6718,False,False,0.8988
Cell cycle (S and G2/M),Proliferation,curated (Tirosh 2016),curated,1.0,Immature Astrocytes,Glial,94,22,tested,0.2629,3.203,0.0072,True,False,0.1399
Cell cycle (S and G2/M),Proliferation,curated (Tirosh 2016),curated,1.0,OPC,Glial,94,52,tested,0.7669,10.713,0.0002,True,True,0.0302
Cell cycle (S and G2/M),Proliferation,curated (Tirosh 2016),curated,1.0,Deep layer EN,Dorsal excitatory,94,13,NA_below_15_genes,NA,NA,NA,NA,NA,NA
Cell cycle (S and G2/M),Proliferation,curated (Tirosh 2016),curated,1.0,Upper layer EN,Dorsal excitatory,94,11,NA_below_15_genes,NA,NA,NA,NA,NA,NA
Cell cycle (S and G2/M),Proliferation,curated (Tirosh 2016),curated,1.0,MGE-IN,Ventral interneuron,94,13,NA_below_15_genes,NA,NA,NA,NA,NA,NA
Cell cycle (S and G2/M),Proliferation,curated (Tirosh 2016),curated,1.0,CGE-IN,Ventral interneuron,94,9,NA_below_15_genes,NA,NA,NA,NA,NA,NA
Cell cycle (S and G2/M),Proliferation,curated (Tirosh 2016),curated,1.0,"GABAergic IN, origin unassigned",Ventral interneuron,94,17,tested,-0.1091,-0.954,0.3272,False,False,0.6238
Cell cycle (S and G2/M),Proliferation,curated (Tirosh 2016),curated,1.0,LGE-derived GABAergic,Ventral interneuron,94,14,NA_below_15_genes,NA,NA,NA,NA,NA,NA
Cell cycle (S and G2/M),Proliferation,curated (Tirosh 2016),curated,1.0,SPN-D1 (precursor-like),Ventral projection,94,14,NA_below_15_genes,NA,NA,NA,NA,NA,NA
Cell cycle (S and G2/M),Proliferation,curated (Tirosh 2016),curated,1.0,SPN-D1 (differentiating),Ventral projection,94,14,NA_below_15_genes,NA,NA,NA,NA,NA,NA
Cell cycle (S and G2/M),Proliferation,curated (Tirosh 2016),curated,1.0,SPN-D2 (differentiating),Ventral projection,94,14,NA_below_15_genes,NA,NA,NA,NA,NA,NA
DNA repair,DNA repair,GO:0006281,direct GO,0.62,Ventral IPC,Progenitor,253,157,tested,0.0134,2.657,0.006,True,False,0.1399
DNA repair,DNA repair,GO:0006281,direct GO,0.62,Gliogenic RG,Progenitor,253,165,tested,0.0158,0.331,0.7398,False,False,0.8988
DNA repair,DNA repair,GO:0006281,direct GO,0.62,Immature Astrocytes,Glial,253,116,tested,0.0958,2.493,0.0147,True,False,0.1487
DNA repair,DNA repair,GO:0006281,direct GO,0.62,OPC,Glial,253,124,tested,0.0368,1.033,0.3109,False,False,0.6083
DNA repair,DNA repair,GO:0006281,direct GO,0.62,Deep layer EN,Dorsal excitatory,253,102,tested,-0.0216,-0.219,0.8118,False,False,0.918
DNA repair,DNA repair,GO:0006281,direct GO,0.62,Upper layer EN,Dorsal excitatory,253,94,tested,0.0015,1.216,0.1955,False,False,0.5768
DNA repair,DNA repair,GO:0006281,direct GO,0.62,MGE-IN,Ventral interneuron,253,96,tested,-0.0494,0.291,0.7623,False,False,0.8988
DNA repair,DNA repair,GO:0006281,direct GO,0.62,CGE-IN,Ventral interneuron,253,93,tested,-0.087,-0.812,0.4199,False,False,0.7482
DNA repair,DNA repair,GO:0006281,direct GO,0.62,"GABAergic IN, origin unassigned",Ventral interneuron,253,125,tested,-0.0324,-0.6,0.5456,False,False,0.8605
DNA repair,DNA repair,GO:0006281,direct GO,0.62,LGE-derived GABAergic,Ventral interneuron,253,94,tested,-0.0536,-0.121,0.9098,False,False,0.9641
DNA repair,DNA repair,GO:0006281,direct GO,0.62,SPN-D1 (precursor-like),Ventral projection,253,94,tested,-0.0699,0.411,0.6808,False,False,0.8988
DNA repair,DNA repair,GO:0006281,direct GO,0.62,SPN-D1 (differentiating),Ventral projection,253,104,tested,-0.0222,1.093,0.2744,False,False,0.6083
DNA repair,DNA repair,GO:0006281,direct GO,0.62,SPN-D2 (differentiating),Ventral projection,253,95,tested,-0.0828,-0.084,0.9343,False,False,0.9745
Response to oxidative stress,Stress,GO:0006979,direct GO,0.87,Ventral IPC,Progenitor,144,52,tested,-0.1254,-0.668,0.5004,False,False,0.8182
Response to oxidative stress,Stress,GO:0006979,direct GO,0.87,Gliogenic RG,Progenitor,144,55,tested,-0.0629,-0.797,0.4266,False,False,0.7482
Response to oxidative stress,Stress,GO:0006979,direct GO,0.87,Immature Astrocytes,Glial,144,47,tested,0.0293,0.384,0.6916,False,False,0.8988
Response to oxidative stress,Stress,GO:0006979,direct GO,0.87,OPC,Glial,144,49,tested,0.1541,2.198,0.0305,True,False,0.2083
Response to oxidative stress,Stress,GO:0006979,direct GO,0.87,Deep layer EN,Dorsal excitatory,144,46,tested,0.0002,0.374,0.7011,False,False,0.8988
Response to oxidative stress,Stress,GO:0006979,direct GO,0.87,Upper layer EN,Dorsal excitatory,144,37,tested,0.0051,0.812,0.3897,False,False,0.7144
Response to oxidative stress,Stress,GO:0006979,direct GO,0.87,MGE-IN,Ventral interneuron,144,40,tested,-0.0304,0.5,0.6078,False,False,0.8988
Response to oxidative stress,Stress,GO:0006979,direct GO,0.87,CGE-IN,Ventral interneuron,144,42,tested,-0.026,0.172,0.8625,False,False,0.9575
Response to oxidative stress,Stress,GO:0006979,direct GO,0.87,"GABAergic IN, origin unassigned",Ventral interneuron,144,52,tested,-0.0041,0.101,0.915,False,False,0.9641
Response to oxidative stress,Stress,GO:0006979,direct GO,0.87,LGE-derived GABAergic,Ventral interneuron,144,39,tested,-0.0761,-0.386,0.6956,False,False,0.8988
Response to oxidative stress,Stress,GO:0006979,direct GO,0.87,SPN-D1 (precursor-like),Ventral projection,144,40,tested,-0.1876,-1.325,0.1725,False,False,0.5351
Response to oxidative stress,Stress,GO:0006979,direct GO,0.87,SPN-D1 (differentiating),Ventral projection,144,46,tested,-0.0024,1.17,0.2259,False,False,0.606
Response to oxidative stress,Stress,GO:0006979,direct GO,0.87,SPN-D2 (differentiating),Ventral projection,144,40,tested,-0.0217,0.967,0.3117,False,False,0.6083
Apoptotic process,Cell death,GO:0006915,direct GO,0.72,Ventral IPC,Progenitor,533,199,tested,-0.0687,0.441,0.6528,False,False,0.8988
Apoptotic process,Cell death,GO:0006915,direct GO,0.72,Gliogenic RG,Progenitor,533,207,tested,0.0159,0.351,0.7286,False,False,0.8988
Apoptotic process,Cell death,GO:0006915,direct GO,0.72,Immature Astrocytes,Glial,533,183,tested,0.0125,0.096,0.9163,False,False,0.9641
Apoptotic process,Cell death,GO:0006915,direct GO,0.72,OPC,Glial,533,186,tested,0.0377,1.239,0.2167,False,False,0.606
Apoptotic process,Cell death,GO:0006915,direct GO,0.72,Deep layer EN,Dorsal excitatory,533,175,tested,-0.0083,0.344,0.7256,False,False,0.8988
Apoptotic process,Cell death,GO:0006915,direct GO,0.72,Upper layer EN,Dorsal excitatory,533,159,tested,-0.0144,1.037,0.2797,False,False,0.6083
Apoptotic process,Cell death,GO:0006915,direct GO,0.72,MGE-IN,Ventral interneuron,533,157,tested,-0.0095,1.767,0.0797,False,False,0.3564
Apoptotic process,Cell death,GO:0006915,direct GO,0.72,CGE-IN,Ventral interneuron,533,150,tested,-0.0264,0.311,0.7433,False,False,0.8988
Apoptotic process,Cell death,GO:0006915,direct GO,0.72,"GABAergic IN, origin unassigned",Ventral interneuron,533,191,tested,0.0001,0.282,0.7646,False,False,0.8988
Apoptotic process,Cell death,GO:0006915,direct GO,0.72,LGE-derived GABAergic,Ventral interneuron,533,153,tested,0.0103,1.733,0.0825,False,False,0.3564
Apoptotic process,Cell death,GO:0006915,direct GO,0.72,SPN-D1 (precursor-like),Ventral projection,533,157,tested,-0.0547,0.948,0.3529,False,False,0.657
Apoptotic process,Cell death,GO:0006915,direct GO,0.72,SPN-D1 (differentiating),Ventral projection,533,184,tested,-0.0308,1.05,0.2904,False,False,0.6083
Apoptotic process,Cell death,GO:0006915,direct GO,0.72,SPN-D2 (differentiating),Ventral projection,533,168,tested,-0.0458,1.149,0.2467,False,False,0.606
